変換前　	変換後
神祇官	<orgName sameAs="#神祇官">神祇官</orgName>
太政官	<orgName sameAs="#太政官">太政官</orgName>
中務省	<orgName sameAs="#中務省">中務省</orgName>
式部省	<orgName sameAs="#式部省">式部省</orgName>
治部省	<orgName sameAs="#治部省">治部省</orgName>
民部省	<orgName sameAs="#民部省">民部省</orgName>
兵部省	<orgName sameAs="#兵部省">兵部省</orgName>
刑部省	<orgName sameAs="#刑部省">刑部省</orgName>
大蔵省	<orgName sameAs="#大蔵省">大蔵省</orgName>
宮内省	<orgName sameAs="#宮内省">宮内省</orgName>
修理職	<orgName sameAs="#修理職">修理職</orgName>
中宮職	<orgName sameAs="#中宮職">中宮職</orgName>
大膳職	<orgName sameAs="#大膳職">大膳職</orgName>
大舎人寮	<orgName sameAs="#大舎人寮">大舎人寮</orgName>
図書寮	<orgName sameAs="#図書寮">図書寮</orgName>
縫殿寮	<orgName sameAs="#縫殿寮">縫殿寮</orgName>
内蔵寮	<orgName sameAs="#内蔵寮">内蔵寮</orgName>
内匠寮	<orgName sameAs="#内匠寮">内匠寮</orgName>
大学寮	<orgName sameAs="#大学寮">大学寮</orgName>
雅楽寮	<orgName sameAs="#雅楽寮">雅楽寮</orgName>
玄蕃寮	<orgName sameAs="#玄蕃寮">玄蕃寮</orgName>
諸陵寮	<orgName sameAs="#諸陵寮">諸陵寮</orgName>
主計寮	<orgName sameAs="#主計寮">主計寮</orgName>
主税寮	<orgName sameAs="#主税寮">主税寮</orgName>
木工寮	<orgName sameAs="#木工寮">木工寮</orgName>
左右馬寮	<orgName sameAs="#馬寮">左右馬寮</orgName>
兵庫寮	<orgName sameAs="#兵庫寮">兵庫寮</orgName>
陰陽寮	<orgName sameAs="#陰陽寮">陰陽寮</orgName>
大炊寮	<orgName sameAs="#大炊寮">大炊寮</orgName>
主殿寮	<orgName sameAs="#主殿寮">主殿寮</orgName>
典薬寮	<orgName sameAs="#典薬寮">典薬寮</orgName>
掃部寮	<orgName sameAs="#掃部寮">掃部寮</orgName>
正親司	<orgName sameAs="#正親司">正親司</orgName>
囚獄司	<orgName sameAs="#囚獄司">囚獄司</orgName>
内膳司	<orgName sameAs="#内膳司">内膳司</orgName>
造酒司	<orgName sameAs="#造酒司">造酒司</orgName>
隼人司	<orgName sameAs="#隼人司">隼人司</orgName>
織部司	<orgName sameAs="#織部司">織部司</orgName>
采女司	<orgName sameAs="#采女司">采女司</orgName>
主水司	<orgName sameAs="#主水司">主水司</orgName>
弾正台	<orgName sameAs="#弾正台">弾正台</orgName>
左右近衛府	<orgName sameAs="#近衛府">左右近衛府</orgName>
左近衛府	<orgName sameAs="#近衛府">左近衛府</orgName>
左右衛門府	<orgName sameAs="#衛門府">左右衛門府</orgName>
左衛門府	<orgName sameAs="#衛門府">左衛門府</orgName>
左右兵衛府	<orgName sameAs="#兵衛府">左右兵衛府</orgName>
左兵衛府	<orgName sameAs="#兵衛府">左兵衛府</orgName>
左右京職	<orgName sameAs="#京識">左右京識</orgName>
東西市司	<orgName sameAs="#市司">東西市司</orgName>
大宰府	<orgName sameAs="#大宰府">大宰府</orgName>
