変換前	変換後
神祇	<orgName sameAs="#神祇官">神祇</orgName>
太政	<orgName sameAs="#太政官">太政</orgName>
中務	<orgName sameAs="#中務省">中務</orgName>
式部	<orgName sameAs="#式部省">式部</orgName>
治部	<orgName sameAs="#治部省">治部</orgName>
民部	<orgName sameAs="#民部省">民部</orgName>
兵部	<orgName sameAs="#兵部省">兵部</orgName>
刑部	<orgName sameAs="#刑部省">刑部</orgName>
大蔵	<orgName sameAs="#大蔵省">大蔵</orgName>
宮内	<orgName sameAs="#宮内省">宮内</orgName>
修理	<orgName sameAs="#修理職">修理</orgName>
中宮	<orgName sameAs="#中宮職">中宮</orgName>
大膳	<orgName sameAs="#大膳職">大膳</orgName>
大舎人	<orgName sameAs="#大舎人寮">大舎人</orgName>
図書	<orgName sameAs="#図書寮">図書</orgName>
縫殿	<orgName sameAs="#縫殿寮">縫殿</orgName>
内蔵	<orgName sameAs="#内蔵寮">内蔵</orgName>
内匠	<orgName sameAs="#内匠寮">内匠</orgName>
大学	<orgName sameAs="#大学寮">大学</orgName>
雅楽	<orgName sameAs="#雅楽寮">雅楽</orgName>
玄蕃	<orgName sameAs="#玄蕃寮">玄蕃</orgName>
諸陵	<orgName sameAs="#諸陵寮">諸陵</orgName>
主計	<orgName sameAs="#主計寮">主計</orgName>
主税	<orgName sameAs="#主税寮">主税</orgName>
木工	<orgName sameAs="#木工寮">木工</orgName>
左馬寮	<orgName sameAs="#馬寮">左馬寮</orgName>
右馬寮	<orgName sameAs="#馬寮">右馬寮</orgName>
兵庫	<orgName sameAs="#兵庫寮">兵庫</orgName>
陰陽	<orgName sameAs="#陰陽寮">陰陽</orgName>
大炊	<orgName sameAs="#大炊寮">大炊</orgName>
主殿	<orgName sameAs="#主殿寮">主殿</orgName>
典薬	<orgName sameAs="#典薬寮">典薬</orgName>
掃部	<orgName sameAs="#掃部寮">掃部</orgName>
正親	<orgName sameAs="#正親司">正親</orgName>
囚獄	<orgName sameAs="#囚獄司">囚獄</orgName>
内膳	<orgName sameAs="#内膳司">内膳</orgName>
造酒	<orgName sameAs="#造酒司">造酒</orgName>
隼人	<orgName sameAs="#隼人司">隼人</orgName>
織部	<orgName sameAs="#織部司">織部</orgName>
采女	<orgName sameAs="#采女司">采女</orgName>
主水	<orgName sameAs="#主水司">主水</orgName>
弾正	<orgName sameAs="#弾正台">弾正</orgName>
左右近衛　	<orgName sameAs="#近衛府">左右近衛</orgName>
右近衛府	<orgName sameAs="#近衛府">右近衛府</orgName>
左右衛門	<orgName sameAs="#衛門府">左右衛門</orgName>
右衛門府	<orgName sameAs="#衛門府">右衛門府</orgName>
左右兵衛	<orgName sameAs="#兵衛府">左右兵衛</orgName>
右兵衛府	<orgName sameAs="#兵衛府">右兵衛府</orgName>
左京職	<orgName sameAs="#京職">左京職</orgName>
右京職	<orgName sameAs="#京職">右京職</orgName>
東市司	<orgName sameAs="#市司">東市司</orgName>
西市司	<orgName sameAs="#市司">西市司</orgName>
