巻	式名	式順	条	条文名	項
21	玄蕃	3	1	御斎会	１
21	玄蕃	3	2	御修法	１
21	玄蕃	3	3	大元帥法	１
21	玄蕃	3	4	安居	１
21	玄蕃	3	5	招提寺安居	１
21	玄蕃	3	6	大般若経	１
21	玄蕃	3	7	大安寺大般若	１
21	玄蕃	3	8	薬師寺大般若	１
21	玄蕃	3	9	崇福寺悔過	１
21	玄蕃	3	10	最勝会	１
21	玄蕃	3	11	維摩会	１
21	玄蕃	3	12	竪義	１
21	玄蕃	3	13	修正会	１
21	玄蕃	3	14	吉祥悔過	１
21	玄蕃	3	15	金光明寺安居	１
21	玄蕃	3	16	国分僧尼	１
21	玄蕃	3	17	公験	１
21	玄蕃	3	18	心願国分僧	１
21	玄蕃	3	19	国分僧死闕	１
21	玄蕃	3	20	大和国分寺	１
21	玄蕃	3	21	転用国分寺	１
21	玄蕃	3	22	国分寺田	１
21	玄蕃	3	23	修理国分寺	１
21	玄蕃	3	24	多度神宮寺	１
21	玄蕃	3	25	仁王会	１
21	玄蕃	3	26	仁王会堂装束	１
21	玄蕃	3	27	仁王会講師	１
21	玄蕃	3	28	仁王会読師	１
21	玄蕃	3	29	仁王会布施	１
21	玄蕃	3	30	旱災	１
21	玄蕃	3	31	尊勝陀羅尼	１
21	玄蕃	3	32	灯油	１
21	玄蕃	3	33	新薬師寺修法	１
21	玄蕃	3	34	東大寺	１
21	玄蕃	3	35	大仏安居	１
21	玄蕃	3	36	国忌座料	１
21	玄蕃	3	37	僧綱所	１
21	玄蕃	3	38	任僧綱	１
21	玄蕃	3	39	大寺雑事	１
21	玄蕃	3	40	僧綱辞表	１
21	玄蕃	3	41	僧綱卒去	１
21	玄蕃	3	42	威従	１
21	玄蕃	3	43	従僧	１
21	玄蕃	3	44	大威儀師	１
21	玄蕃	3	45	近都寺	１
21	玄蕃	3	46	講読師	１
21	玄蕃	3	47	講読師年限	１
21	玄蕃	3	48	夏講	１
21	玄蕃	3	49	安祥寺	１
21	玄蕃	3	50	階業帳	１
21	玄蕃	3	51	最初闕	１
21	玄蕃	3	52	天台分講読師	１
21	玄蕃	3	53	延暦寺三綱	１
21	玄蕃	3	54	講読師留連	１
21	玄蕃	3	55	観音寺講読師	１
21	玄蕃	3	56	講読師不与	１
21	玄蕃	3	57	別当三綱	１
21	玄蕃	3	58	別当長官	１
21	玄蕃	3	59	別当三綱任符	１
21	玄蕃	3	60	別当三綱闕	１
21	玄蕃	3	61	大寺三綱	１
21	玄蕃	3	62	興福寺別当	１
21	玄蕃	3	63	僧綱任別当	１
21	玄蕃	3	64	東西寺三綱	１
21	玄蕃	3	65	四天王寺三綱	１
21	玄蕃	3	66	定額寺別当	１
21	玄蕃	3	67	講読師解由	１
21	玄蕃	3	68	別当三綱解由	１
21	玄蕃	3	69	度縁	１
21	玄蕃	3	70	判授位記	１
21	玄蕃	3	71	年分度者	１
21	玄蕃	3	72	授戒	１
21	玄蕃	3	73	沙弥・沙弥尼	１
21	玄蕃	3	74	戒牒	１
21	玄蕃	3	75	授戒使	１
21	玄蕃	3	76	戒壇十師	１
21	玄蕃	3	77	七大寺僧	１
21	玄蕃	3	78	臨時度者	１
21	玄蕃	3	79	徴免	１
21	玄蕃	3	80	収度縁	１
21	玄蕃	3	81	大寺僧死闕	１
21	玄蕃	3	82	延暦寺僧死闕	１
21	玄蕃	3	83	仏菩薩	１
21	玄蕃	3	84	禅院経論	１
21	玄蕃	3	85	東西寺非違	１
21	玄蕃	3	86	論事	１
21	玄蕃	3	87	寺文返却帳	１
21	玄蕃	3	88	常住寺供養	１
21	玄蕃	3	89	天台住僧	１
21	玄蕃	3	90	斎会食	１
21	玄蕃	3	91	誦経	１
21	玄蕃	3	92	諸蕃使人	１
21	玄蕃	3	93	蕃客往還	１
21	玄蕃	3	94	新羅客	１
