巻	式名	式順	条	条文名	項
24	主計上	1	1	畿内調	3
24	主計上	1	2	諸国調	8
24	主計上	1	3	諸国庸	1
24	主計上	1	4	中男作物	3
24	主計上	1	5	調糸	1
24	主計上	1	6	調絹絁	1
24	主計上	1	7	左右京	1
24	主計上	1	8	山城国	1
24	主計上	1	9	大和国	1
24	主計上	1	10	河内国	1
24	主計上	1	11	摂津国	1
24	主計上	1	12	和泉国	1
24	主計上	1	13	伊賀国	1
24	主計上	1	14	伊勢国	1
24	主計上	1	15	志摩国	1
24	主計上	1	16	尾張国	1
24	主計上	1	17	参河国	1
24	主計上	1	18	遠江国	1
24	主計上	1	19	駿河国	1
24	主計上	1	20	伊豆国	1
24	主計上	1	21	甲斐国	1
24	主計上	1	22	相摸国	1
24	主計上	1	23	武蔵国	1
24	主計上	1	24	安房国	1
24	主計上	1	25	上総国	1
24	主計上	1	26	下総国	1
24	主計上	1	27	常陸国	1
24	主計上	1	28	近江国	1
24	主計上	1	29	美濃国	1
24	主計上	1	30	飛騨国	1
24	主計上	1	31	信濃国	1
24	主計上	1	32	上野国	1
24	主計上	1	33	下野国	1
24	主計上	1	34	陸奥国	1
24	主計上	1	35	出羽国	1
24	主計上	1	36	若狭国	1
24	主計上	1	37	越前国	1
24	主計上	1	38	加賀国	1
24	主計上	1	39	能登国	1
24	主計上	1	40	越中国	1
24	主計上	1	41	越後国	1
24	主計上	1	42	佐渡国	1
24	主計上	1	43	丹波国	1
24	主計上	1	44	丹後国	1
24	主計上	1	45	但馬国	1
24	主計上	1	46	因幡国	1
24	主計上	1	47	伯耆国	1
24	主計上	1	48	出雲国	1
24	主計上	1	49	石見国	1
24	主計上	1	50	隠伎国	1
24	主計上	1	51	播磨国	1
24	主計上	1	52	美作国	1
24	主計上	1	53	備前国	1
24	主計上	1	54	備中国	1
24	主計上	1	55	備後国	1
24	主計上	1	56	安芸国	1
24	主計上	1	57	周防国	1
24	主計上	1	58	長門国	1
24	主計上	1	59	紀伊国	1
24	主計上	1	60	淡路国	1
24	主計上	1	61	阿波国	1
24	主計上	1	62	讃岐国	1
24	主計上	1	63	伊予国	1
24	主計上	1	64	土左国	1
24	主計上	1	65	大宰府	1
24	主計上	1	66	筑前国	1
24	主計上	1	67	筑後国	1
24	主計上	1	68	肥前国	1
24	主計上	1	69	肥後国	1
24	主計上	1	70	豊前国	1
24	主計上	1	71	豊後国	1
24	主計上	1	72	日向国	1
24	主計上	1	73	大隅国	1
24	主計上	1	74	薩摩国	1
24	主計上	1	75	壱伎島	1
24	主計上	1	76	対馬島	1
