巻	式名	式順	条	新条文名	項
37	典薬	1	1	元日御薬	5
37	典薬	1	2	臘月御薬	5
37	典薬	1	3	中宮臘月御薬	3
37	典薬	1	4	東宮御薬	3
37	典薬	1	5	白散	3
37	典薬	1	6	雑給料	4
37	典薬	1	7	地黄煎料	3
37	典薬	1	8	五月五日	1
37	典薬	1	9	合薬麴料	1
37	典薬	1	10	九月九日	1
37	典薬	1	11	供御乳	1
37	典薬	1	12	乳牛	1
37	典薬	1	13	造儲御薬料	1
37	典薬	1	14	造供御白粉料	1
37	典薬	1	15	行幸	1
37	典薬	1	16	大嘗会陪従	1
37	典薬	1	17	斎内親王	1
37	典薬	1	18	斎宮寮雑薬	1
37	典薬	1	19	内匠寮雑薬	1
37	典薬	1	20	木工寮雑薬	1
37	典薬	1	21	近衛府雑薬	1
37	典薬	1	22	衛門府雑薬	1
37	典薬	1	23	兵衛府雑薬	1
37	典薬	1	24	馬寮雑薬	1
37	典薬	1	25	兵庫寮雑薬	1
37	典薬	1	26	唐使雑薬	1
37	典薬	1	27	唐使草薬	1
37	典薬	1	28	渤海使雑薬	1
37	典薬	1	29	渤海使草薬	1
37	典薬	1	30	新羅使雑薬	1
37	典薬	1	31	新羅使草薬	2
37	典薬	1	32	読医経	1
37	典薬	1	33	大素経	1
37	典薬	1	34	講書座料	1
37	典薬	1	35	得業生	1
37	典薬	1	36	医師公廨	1
37	典薬	1	37	授業師料物	1
37	典薬	1	38	五位以上草薬	1
37	典薬	1	39	年料雑物	1
37	典薬	1	40	寮家儲物	1
37	典薬	1	41	味原牧	1
37	典薬	1	42	味原死牛	1
37	典薬	1	43	地黄地	1
37	典薬	1	44	勧学田	1
37	典薬	1	45	山城年料雑薬	1
37	典薬	1	46	大和年料雑薬	1
37	典薬	1	47	摂津年料雑薬	1
37	典薬	1	48	河内年料雑薬	1
37	典薬	1	49	伊賀年料雑薬	1
37	典薬	1	50	伊勢年料雑薬	1
37	典薬	1	51	尾張年料雑薬	1
37	典薬	1	52	参河年料雑薬	1
37	典薬	1	53	遠江年料雑薬	1
37	典薬	1	54	駿河年料雑薬	1
37	典薬	1	55	伊豆年料雑薬	1
37	典薬	1	56	甲斐年料雑薬	1
37	典薬	1	57	相摸年料雑薬	1
37	典薬	1	58	武蔵年料雑薬	1
37	典薬	1	59	安房年料雑薬	1
37	典薬	1	60	上総年料雑薬	1
37	典薬	1	61	下総年料雑薬	1
37	典薬	1	62	常陸年料雑薬	1
37	典薬	1	63	近江年料雑薬	1
37	典薬	1	64	美濃年料雑薬	1
37	典薬	1	65	飛騨年料雑薬	1
37	典薬	1	66	信濃年料雑薬	1
37	典薬	1	67	上野年料雑薬	1
37	典薬	1	68	下野年料雑薬	1
37	典薬	1	69	陸奥年料雑薬	1
37	典薬	1	70	出羽年料雑薬	1
37	典薬	1	71	若狭年料雑薬	1
37	典薬	1	72	越前年料雑薬	1
37	典薬	1	73	加賀年料雑薬	1
37	典薬	1	74	能登年料雑薬	1
37	典薬	1	75	越中年料雑薬	1
37	典薬	1	76	越後年料雑薬	1
37	典薬	1	77	佐渡年料雑薬	1
37	典薬	1	78	丹波年料雑薬	1
37	典薬	1	79	丹後年料雑薬	1
37	典薬	1	80	但馬年料雑薬	1
37	典薬	1	81	因幡年料雑薬	1
37	典薬	1	82	伯耆年料雑薬	1
37	典薬	1	83	出雲年料雑薬	1
37	典薬	1	84	石見年料雑薬	1
37	典薬	1	85	播磨年料雑薬	1
37	典薬	1	86	美作年料雑薬	1
37	典薬	1	87	備前年料雑薬	1
37	典薬	1	88	備中年料雑薬	1
37	典薬	1	89	備後年料雑薬	1
37	典薬	1	90	安芸年料雑薬	1
37	典薬	1	91	周防年料雑薬	1
37	典薬	1	92	長門年料雑薬	1
37	典薬	1	93	紀伊年料雑薬	1
37	典薬	1	94	阿波年料雑薬	1
37	典薬	1	95	讃岐年料雑薬	1
37	典薬	1	96	伊予年料雑薬	1
37	典薬	1	97	土左年料雑薬	1
37	典薬	1	98	大宰年料雑薬	2
