巻	式名	式順	条	新条文名	項
42	左右京	1	1	大神宮幣帛使	1
42	左右京	1	2	斎王祓	1
42	左右京	1	3	賀茂斎王祓	1
42	左右京	1	4	大嘗大祓	1
42	左右京	1	5	二季大祓	1
42	左右京	1	6	畿内堺祭	1
42	左右京	1	7	掃除大学	1
42	左右京	1	8	文殊会	1
42	左右京	1	9	射礼	1
42	左右京	1	10	追儺	1
42	左右京	1	11	追儺夜	1
42	左右京	1	12	車駕行幸	1
42	左右京	1	13	京路掃除	1
42	左右京	1	14	朱雀路溝	1
42	左右京	1	15	宮城辺立鋪	1
42	左右京	1	16	諸門厩亭	1
42	左右京	1	17	騎馬之輩	1
42	左右京	1	18	朱雀放飼	1
42	左右京	1	19	大路建門屋	1
42	左右京	1	20	衛士仕丁坊	1
42	左右京	1	21	京職栽柳	1
42	左右京	1	22	道路辺樹	1
42	左右京	1	23	京中水田	1
42	左右京	1	24	京中閑地	1
42	左右京	1	25	路辺病者	1
42	左右京	1	26	勅旨所正倉守	1
42	左右京	1	27	下諸国符	1
42	左右京	1	28	蕃客入朝	1
42	左右京	1	29	親王大臣薨	1
42	左右京	1	30	賻物	1
42	左右京	1	31	喪家申官	1
42	左右京	1	32	賜賻物	1
42	左右京	1	33	雇使員数	2
42	左右京	1	34	兵士当色	1
42	左右京	1	35	勘造授田口帳	3
42	左右京	1	36	班田使祗承	3
42	左右京	1	37	田籍	1
42	左右京	1	38	戸籍帙料	1
42	左右京	1	39	責計帳手実	1
42	左右京	1	40	不進計帳	1
42	左右京	1	41	誤置職写	1
42	左右京	1	42	職写戸田価	1
42	左右京	1	43	職写田帳	1
42	左右京	1	44	職写不沽田	1
42	左右京	1	45	厨料	1
42	左右京	1	46	造橋料銭	1
42	左右京	1	47	徭分銭	1
42	左右京	1	48	調徭銭用帳	1
42	左右京	1	49	銭文	1
42	左右京	1	50	義倉用度帳	1
42	左右京	1	51	京戸課徭	1
42	左右京	1	52	諸王歳満	1
42	左右京	1	53	貢挙	1
42	左右京	1	54	堀川杭	1
42	左右京	1	55	闕官要劇田	1
42	左右京	1	56	不仕料物	1
42	左右京	1	57	薬道場	1
42	左右京	1	58	京程	10
42	左右京	1	59	町内小径	1
42	左右京	1	60	築垣功程	1
