巻	式名	式順	条	新条文名	項
17	内匠	1	1	大極殿飾	1
17	内匠	1	2	御斎会	1
17	内匠	1	3	諸節	1
17	内匠	1	4	五月五日	1
17	内匠	1	5	銀器	7
17	内匠	1	6	漆器	8
17	内匠	1	7	朱漆器	14
17	内匠	1	8	瓜刀	1
17	内匠	1	9	革筥	1
17	内匠	1	10	柳筥	1
17	内匠	1	11	年料屏風	1
17	内匠	1	12	年料几帳	1
17	内匠	1	13	御鏡	1
17	内匠	1	14	御帯	1
17	内匠	1	15	御大刀	1
17	内匠	1	16	内印	1
17	内匠	1	17	外印	1
17	内匠	1	18	諸司印	1
17	内匠	1	19	諸国印	1
17	内匠	1	20	御帳	1
17	内匠	1	21	御輿	1
17	内匠	1	22	腰輿	1
17	内匠	1	23	腰車	1
17	内匠	1	24	牛車	1
17	内匠	1	25	屏風	1
17	内匠	1	26	厨子	1
17	内匠	1	27	幄	1
17	内匠	1	28	樋類	1
17	内匠	1	29	毬子	1
17	内匠	1	30	偶人	1
17	内匠	1	31	伊勢初斎院	24
17	内匠	1	32	野宮装束	11
17	内匠	1	33	賀茂装束	18
17	内匠	1	34	親王頓料	1
17	内匠	1	35	位記料	1
17	内匠	1	36	黄楊	1
17	内匠	1	37	的	1
17	内匠	1	38	番上工	1
17	内匠	1	39	作物衣	1
17	内匠	1	40	史生以下禄	1
17	内匠	1	41	雑工	1
17	内匠	1	42	典薬直	1
17	内匠	1	43	六衛府直	1
17	内匠	1	44	縫物	1
17	内匠	1	45	不仕	1
